QueryType,QueryValue,ActivityType,JobPostUrl,CompanyName,CompanyWebsite,JobTitle,JobLocation,PostedOn,NumberOfApplicants,Industry,EmploymentType,SeniorityLevel,JobFunction,JobPosterProfileUrl,JobPosterFirstName,JobPosterLastName,DegreeOfConnection,ScrapedDate
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2206122074,ATCOM Chile,https://www.atcom.cl/,Analista QA Automatizador,Santiago Santiago Metropolitan Chile,10/14/2020 11:12:56,30,Outsourcing/Offshoring,Full-time,Mid-Senior level,Information Technology,https://www.linkedin.com/in/ACoAABs-U4UBtOo5aEQ-03_p-r1XtPWz74-2r3s,Kevin,Lück H.,DISTANCE_2,10/19/2020 7:59:01 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2213137677,Michael Page,http://www.page.com,Desarrollador de Proyectos Eólicos,Santiago Santiago Metropolitan Chile,10/02/2020 01:50:13,3,Oil & Energy. Renewables & Environment,Full-time,Entry level,Consulting. Information Technology. Sales,N/A,N/A,N/A,N/A,10/19/2020 8:00:00 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212527568,ECR International,http://www.ecrinternational.com,Analista de atención al cliente segmento VIP Reemplazo pre y post natal,Ñuñoa Santiago Metropolitan Chile,10/16/2020 22:58:09,10,Staffing & Recruiting. Human Resources. Financial Services,Full-time,Entry level,Customer Service. Information Technology,N/A,N/A,N/A,N/A,10/19/2020 9:50:09 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212537017,Arcoprime,N/A,Administrador Trainee Santiago - ArcoPrime,Santiago Santiago Metropolitan Chile,10/16/2020 23:01:16,3,Food & Beverages. Human Resources. Retail,Full-time,Internship,Information Technology,N/A,N/A,N/A,N/A,10/19/2020 9:50:45 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2210092427,GRUPO EXPRO,http://www.grupoexpro.cl,TENS - SANTIAGO,Santiago Santiago Metropolitan Chile,09/20/2020 20:23:08,0,Food & Beverages. Staffing & Recruiting. Human Resources,Full-time,Not Applicable,Other,N/A,N/A,N/A,N/A,10/19/2020 9:51:40 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2201360882,Grupo Provider,http://www.grupoprovider.com.br,Trabajo Encargado Servicio Técnico,Santiago Santiago Metropolitan Chile,09/29/2020 21:00:00,22,Information Technology & Services. Food & Beverages. Human Resources,Full-time,Mid-Senior level,Management. Manufacturing,N/A,N/A,N/A,N/A,10/19/2020 9:52:36 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2206381489,Icafal Gestión SA,http://www.icafal.cl,Experto/a en seguridad y salud ocupacional,Talagante Province Santiago Metropolitan Chile,09/20/2020 12:58:56,21,Marketing & Advertising. Civil Engineering. Human Resources,Full-time,Entry level,Information Technology,N/A,N/A,N/A,N/A,10/19/2020 9:53:15 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212537210,Aqua,N/A,Prevencionista Junior - Región de Magallanes,Santiago Santiago Metropolitan Chile,09/21/2020 23:02:07,1,Higher Education. Mechanical Or Industrial Engineering. Human Resources,Full-time,Entry level,Other,N/A,N/A,N/A,N/A,10/19/2020 9:53:53 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2214333788,GOLDENFROST,http://www.goldenfrost.cl,Asistente Control de Gestión,Santiago Santiago Metropolitan Chile,09/22/2020 13:58:35,1,Marketing & Advertising. Logistics & Supply Chain. Human Resources,Full-time,Entry level,Management. Manufacturing,N/A,N/A,N/A,N/A,10/19/2020 9:54:30 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2210549270,Perfil Market,N/A,Reponedor carniceria | maipu,Maipú Santiago Metropolitan Chile,09/30/2020 05:38:49,0,Food & Beverages. Human Resources. Retail,Full-time,Entry level,Sales. Business Development,N/A,N/A,N/A,N/A,10/19/2020 9:55:30 PM
